geocohort,bids,impressions,clicks,spend
A0A1J0,2,1,0,0.012002
A0A4K0,2,2,0,0.024005
A0G2K0,12,11,0,0.132092
A0G3A0,7,5,0,0.06014
A1B0J6,7,5,0,0.06006
A1B4E8,1,1,0,0.012052
A1C5E2,1,1,0,0.012052
A1E1C9,1,1,0,0.012012
A1E6E1,3,3,0,0.036076
A1K1B2,1,1,0,0.012012
A1L0H7,4,4,0,0.048208
A1N4B5,4,4,0,0.048118
A1N4N3,3,2,0,0.024064
A1W5P2,2,2,0,0.024005
B0M1C0,9,11,0,0.132076
B0M1S0,9,7,0,0.084203
B0M1W0,2,2,0,0.024024
B0N2T0,17,8,0,0.096156
B0P1E0,52,38,0,0.457054
B0P1G0,5,5,0,0.06011
B0P1H0,6,5,0,0.0601
B0P1J0,2,2,0,0.024054
B0P1L0,4,4,0,0.048038
B0P1P0,40,33,0,0.396534
B0P1R0,1,1,0,0.012002
B0P1T0,24,18,0,0.216274
B0P1V0,1,1,0,0.012052
B0P1W0,2,2,0,0.024004
B0S1A0,3,2,0,0.024064
B2T1E3,2,2,0,0.024023
B3L3E7,25,15,0,0.1804
B4C2Y4,1,1,0,0.012002
B4H3E6,8,8,0,0.096096
B4N0E2,3,3,0,0.036157
B4N5B4,1,1,0,0.012012
B4P1S9,1,1,0,0.012012
B4R1A5,1,1,0,0.012052
C0A1H4,34,26,0,0.312528
C0A1H5,1,1,0,0.012012
C0A1P0,2,2,0,0.024104
C0A1Y0,1,1,0,0.012012
E1W1A4,1,1,0,0.012052
E1X1C2,2,1,0,0.012052
E2E5B4,4,3,0,0.036106
E2V4V6,1,1,0,0.012012
E3A2M9,2,1,0,0.012052
E3A5V9,2,2,0,0.024024
E3B7G9,1,1,0,0.012002
E5N7R9,1,1,0,0.012052
E6A1J4,1,1,0,0.012052
H0M1A0,3,4,0,0.046057
J0M1E0,6,4,0,0.048128
J0P1P0,11,7,0,0.084204
J0P1P1,6,6,0,0.072173
J0P1R0,5,5,0,0.058771
J0P1T0,1,1,0,0.011634
J0P1Z0,18,10,0,0.120211
J0S1A0,2,2,0,0.024064
J0S1M0,9,5,0,0.06022
J0S2E0,5,4,0,0.048168
J0T1G0,2,2,0,0.024104
J0T1Y0,8,7,0,0.084364
J0V1B0,7,6,0,0.072193
J0V1E0,1,1,0,0.012012
J0V1G0,2,2,0,0.024024
J0V1H0,3,3,0,0.035175
J0V1J0,2816,2334,1,27.130624
J0V1L0,7,7,0,0.082314
J0V1M0,4,3,0,0.036066
J0V1R0,140,121,0,1.407609
J0V1S0,5,5,0,0.058078
J0V1V0,2,1,1,0.012012
J0V1W0,1,1,0,0.012012
J0X1E0,1,1,0,0.012012
J0X1G0,1,1,0,0.012052
J0X1H0,18,16,0,0.192664
J0X1K0,1,1,0,0.012012
J0X1M0,2,1,0,0.012012
J0X1S0,1,1,0,0.012002
J0X1V0,22,14,1,0.163393
J0X1W0,2,2,0,0.024064
J0X1X0,1,1,0,0.012012
J0X1Y0,2,2,0,0.024024
J0X2C0,2,1,0,0.012002
J0X2G0,3,3,0,0.035543
J0X2P0,3,2,0,0.024023
J0X2T0,1,1,0,0.011791
J0X2V0,1,1,0,0.012049
J0X2W0,3,2,0,0.024014
J0X2Y0,19,16,0,0.191844
J0X3B0,10,6,0,0.072092
J0X3C0,1,1,0,0.012012
J0X3G0,2,2,0,0.024014
J0X3H0,6,6,0,0.069565
J0Y1R0,1,1,0,0.012012
J0Y1T0,1,1,0,0.012052
J0Y1Z0,6,5,0,0.06009
J0Y2H0,3,3,0,0.036116
J0Y2M0,1,1,0,0.012012
J0Z2H0,3,3,0,0.036063
J0Z3B0,12,12,0,0.140071
J0Z3R0,33,28,0,0.334728
J6J5X7,1,1,0,0.012052
J7C5C6,1,1,0,0.012012
J7T3K4,3,3,0,0.036156
J7V8P5,5,4,0,0.048069
J8G2S8,3,1,0,0.012002
J8L4L9,1,1,0,0.012012
J8M1C9,3,4,0,0.048009
J8T2C6,1,1,0,0.012002
J8V3V8,1,1,0,0.012002
J8Y3V8,1,1,0,0.011366
J9A0A9,1,1,0,0.012012
J9A1S1,1,1,0,0.011532
J9A3V8,1,1,0,0.011483
J9A3W1,2,2,0,0.024065
J9H5V8,1,1,0,0.012049
J9H7B3,4,3,0,0.036147
J9H7B5,1,1,0,0.012012
J9H7J9,1,1,0,0.012016
J9H7K1,1,1,0,0.012012
J9H7M5,3,2,0,0.024098
J9H7T9,1,1,0,0.012052
J9J0E4,1,1,0,0.012052
J9J0K1,39,24,0,0.288539
J9J0L2,6,3,0,0.036147
J9J2M3,1,1,0,0.012049
J9J2P1,14,10,0,0.120032
J9P2Z9,1,1,0,0.012012
K0A,37,31,0,0.365409
K0A1A0,155800,119124,154,1384.385357
K0A1B0,14460,11628,27,134.680041
K0A1E0,890,682,0,7.91533
K0A1G0,247,228,0,2.655257
K0A1L0,236,196,0,2.271967
K0A1M0,7560,5908,6,68.653989
K0A1N0,1719,1219,1,14.142001
K0A1P0,3056,2335,2,27.028113
K0A1R0,2702,2238,0,25.895163
K0A1T0,266,196,1,2.281462
K0A1W0,776,607,5,7.108249
K0A1W1,4569,3668,3,42.406896
K0A1X0,1212,847,1,9.825566
K0A2A0,139,124,0,1.446349
K0A2E0,390,325,0,3.78775
K0A2H0,196,170,0,1.96207
K0A2M0,6262,4561,9,52.912884
K0A2P0,250,194,0,2.246595
K0A2T0,740,602,0,7.0715
K0A2W0,124,90,0,1.047541
K0A2X0,1446,1316,1,15.226868
K0A2Z0,235,215,1,2.479801
K0A3C0,320,227,0,2.638086
K0A3H0,72,70,0,0.822219
K0A3K0,462,432,1,5.029106
K0A3L0,66,55,0,0.641949
K0A3M0,218,149,0,1.734912
K0A3N0,116,96,0,1.119556
K0A3P0,611,533,0,6.169826
K0B,2,2,0,0.023574
K0B1A0,731,626,0,7.298058
K0B1B0,93,79,0,0.914073
K0B1C0,123,92,0,1.069051
K0B1E0,213,161,0,1.882093
K0B1H0,568,470,0,5.437678
K0B1J0,33,32,0,0.372586
K0B1K0,2681,2134,1,25.064675
K0B1L0,1886,1479,4,17.162557
K0B1M0,1991,1650,3,19.125896
K0B1P0,29,28,0,0.329615
K0B1R0,4611,3558,6,41.331322
K0C,6,7,0,0.082511
K0C1A0,13014,10260,10,119.360214
K0C1B0,959,833,1,9.668586
K0C1C0,171,167,0,1.919334
K0C1E0,722,623,0,7.238106
K0C1G0,861,678,1,7.81513
K0C1H0,6916,5363,6,62.229869
K0C1J0,193,145,0,1.67913
K0C1K0,1309,1029,4,11.896227
K0C1M0,4101,3362,11,39.119919
K0C1N0,6941,5435,9,62.94755
K0C1P0,425,369,0,4.288005
